"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @powerglobalus: LOCK HER UP is the call of a TRUMP TRAIN, LETS MAKE IT HAPPEN TRUMPSTERS FLOOD WASHINGTON with CLINTON CRIME FACTS https",FALSE,0,NA,2017-10-21 17:50:35,FALSE,NA,"921795867849449473",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Wandaspangler2",1,TRUE,FALSE,NA,NA
"RT @B52Malmet: Barack Obama reportedly said no 3 times to the Niger operation that ended the lives of 4 US soldiers.Not enuf intel.Too dang",FALSE,0,NA,2017-10-21 17:50:32,FALSE,NA,"921795853475549185",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Adriene26",691,TRUE,FALSE,NA,NA
"'I was very comforted': gold star families recall receiving condolences from Obama https://t.co/YFYRD6SHCU",FALSE,2,NA,2017-10-21 17:50:31,FALSE,NA,"921795850141097984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jeandunn52",2,FALSE,FALSE,NA,NA
"RT @Impeach_D_Trump: Barack Obama Is Back and Reminding Us What a President Looks Like.

RT If You Hope to see more of this incredible man!",FALSE,0,NA,2017-10-21 17:50:28,FALSE,NA,"921795839626006529",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ladyvictoria8",1549,TRUE,FALSE,NA,NA
"RT @jptrib1: Sorry GOP, but the Republican Agenda of Hate Is Losing Ground: Barack Obama Was Named the Most Admired Man in the World",FALSE,0,NA,2017-10-21 17:50:24,FALSE,NA,"921795821930033152",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","1MikeMorris",22,TRUE,FALSE,NA,NA
"RT @kylegriffin1: 'I was very comforted': Gold Star families recall receiving condolences from Obama, contrast Trump's description. https:/",FALSE,0,NA,2017-10-21 17:50:18,FALSE,NA,"921795794755293184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fgcchevy",303,TRUE,FALSE,NA,NA
"RT @CarmineZozzora: Youre not gonna win an election by dividing people. 

- Barack Obama, Oct 19, 2017

#MAGA  @realDonaldTrump @Press",FALSE,0,NA,2017-10-21 17:50:16,FALSE,NA,"921795786677149697",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","babysgramma",218,TRUE,FALSE,NA,NA
"RT @CarmineZozzora: Youre not gonna win an election by dividing people. 

- Barack Obama, Oct 19, 2017

#MAGA  @realDonaldTrump @Press",FALSE,0,NA,2017-10-21 17:50:13,FALSE,NA,"921795774006079489",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JohnDub62",218,TRUE,FALSE,NA,NA
"RT @SunniAndTheCity: Were at Nobu having dinner and Barack Obama is here too https://t.co/BvCVNff67l",FALSE,0,NA,2017-10-21 17:50:01,FALSE,NA,"921795723812835329",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BoycottLex",17,TRUE,FALSE,NA,NA
"RT @LouDobbs: Bush &amp; Obama hate #AmericaFirst, wasted Trillions $, killed Millions of jobs.  https://t.co/lyGsCflRX1  #MAGA @realDonaldTrum",FALSE,0,NA,2017-10-21 17:49:59,FALSE,NA,"921795716502007808",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","SteelBackbone",2773,TRUE,FALSE,NA,NA
"RT @kylegriffin1: 'I was very comforted': Gold Star families recall receiving condolences from Obama, contrast Trump's description. https:/",FALSE,0,NA,2017-10-21 17:49:55,FALSE,NA,"921795697611075585",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","diannkappy",303,TRUE,FALSE,NA,NA
"RT @rolandsmartin: Anyone else here miss the class and grace of our most recent president? https://t.co/pYqgMsnSe0",FALSE,0,NA,2017-10-21 17:49:42,FALSE,NA,"921795644225974272",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Michele98611869",124,TRUE,FALSE,NA,NA
"RT @kylegriffin1: 'I was very comforted': Gold Star families recall receiving condolences from Obama, contrast Trump's description. https:/",FALSE,0,NA,2017-10-21 17:49:38,FALSE,NA,"921795628786741249",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","networktechsusa",303,TRUE,FALSE,NA,NA
"RT @kylegriffin1: 'I was very comforted': Gold Star families recall receiving condolences from Obama, contrast Trump's description. https:/",FALSE,0,NA,2017-10-21 17:49:37,FALSE,NA,"921795625229979649",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SonsintheRoot",303,TRUE,FALSE,NA,NA
"RT @rolandsmartin: Anyone else here miss the class and grace of our most recent president? https://t.co/pYqgMsnSe0",FALSE,0,NA,2017-10-21 17:49:36,FALSE,NA,"921795618925883393",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ofumaofuma",124,TRUE,FALSE,NA,NA
"RT @CarmineZozzora: Youre not gonna win an election by dividing people. 

- Barack Obama, Oct 19, 2017

#MAGA  @realDonaldTrump @Press",FALSE,0,NA,2017-10-21 17:49:35,FALSE,NA,"921795614152777728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","POETREEOTIC",218,TRUE,FALSE,NA,NA
"RT @kylegriffin1: 'I was very comforted': Gold Star families recall receiving condolences from Obama, contrast Trump's description. https:/",FALSE,0,NA,2017-10-21 17:49:34,FALSE,NA,"921795610356858880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rugutierrez2",303,TRUE,FALSE,NA,NA
